Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
53307,6/6/2019 7:29,0,256,<nlp><lstm><rnn><multiclass-classification><multilabel-classification>,2,1
53308,6/6/2019 7:55,7,1825,<machine-learning><deep-learning>,3,1
53317,6/6/2019 9:26,0,22,<machine-learning-model><performance><features>,1,
53319,6/6/2019 9:52,2,148,<neural-network><cnn><dropout>,2,
53322,6/6/2019 10:06,2,438,<dataset>,2,
53325,6/6/2019 10:52,2,303,<machine-learning><python><scikit-learn><logistic-regression><kaggle>,3,
53327,6/6/2019 12:19,0,49,<machine-learning><anomaly-detection>,1,
53333,6/6/2019 13:00,1,27,<deep-learning><image>,0,
53336,6/6/2019 13:56,0,46,<machine-learning><reinforcement-learning><ai>,2,
53340,6/6/2019 14:31,1,264,<nlp><text-mining><natural-language-process><tfidf>,1,
53342,6/6/2019 14:54,2,177,<machine-learning><scikit-learn><multilabel-classification>,1,
53345,6/6/2019 15:34,1,66,<machine-learning><deep-learning>,2,
53349,6/6/2019 17:06,4,415,<classification><keras>,1,
53351,6/6/2019 17:11,0,35,<python><scikit-learn>,0,
53352,6/6/2019 18:15,1,42,<neural-network><tensorflow>,0,
53353,6/6/2019 18:19,2,425,<machine-learning><anomaly-detection><outlier>,5,1
53354,6/6/2019 19:18,1,393,<python><tensorflow><cnn>,1,
53356,6/6/2019 19:33,0,89,<machine-learning><neural-network><deep-learning><keras><batch-normalization>,0,
53358,6/6/2019 20:32,1,78,<machine-learning><classification>,1,0
53359,6/6/2019 20:33,1,100,<python><classification><keras><cnn>,0,1
53365,6/6/2019 23:06,1,31,<machine-learning><cnn><decision-trees>,2,
53366,6/7/2019 1:01,0,28,<machine-learning><classification>,1,
53369,6/7/2019 5:04,0,65,<machine-learning><deep-learning><nlp><text-mining>,1,1
53370,6/7/2019 5:30,-1,244,<machine-learning><classification>,2,
53375,6/7/2019 8:13,0,268,<reinforcement-learning>,0,
53377,6/7/2019 9:45,0,53,<machine-learning><classification><feature-selection><xgboost>,1,
53378,6/7/2019 9:51,0,68,<machine-learning><neural-network><machine-learning-model><online-learning>,1,
53381,6/7/2019 10:27,4,49,<machine-learning>,2,
53384,6/7/2019 12:12,0,70,<machine-learning><deep-learning><matlab>,0,
53385,6/7/2019 12:13,0,57,<machine-learning><cross-validation><training>,1,
53386,6/7/2019 12:15,2,46,<lstm>,0,
53388,6/7/2019 13:03,3,2441,<machine-learning><python><time-series><anomaly-detection><outlier>,5,
53392,6/7/2019 13:45,0,48,<python><matlab><h2o>,1,
53395,6/7/2019 14:37,0,47,<reinforcement-learning>,2,
53399,6/7/2019 15:36,0,143,<gradient-descent><loss-function><batch-normalization>,1,
53400,6/7/2019 15:41,8,833,<machine-learning><classification><loss-function>,1,2
53405,6/7/2019 16:50,1,474,<python><pandas>,1,
53408,6/7/2019 18:36,1,151,<deep-learning><categorical-data><embeddings>,0,
53410,6/7/2019 19:09,0,670,<pandas><data-cleaning>,1,
53412,6/7/2019 19:47,1,98,<machine-learning><deep-learning><graphs>,0,1
53415,6/7/2019 21:11,0,789,<machine-learning><tensorflow>,1,
53422,6/8/2019 1:12,2,209,<machine-learning><clustering><image-classification><class-imbalance>,3,
53426,6/8/2019 7:38,0,1000,<neural-network><deep-learning><keras><batch-normalization><deep-network>,1,
53427,6/8/2019 7:39,2,100,<neural-network><deep-learning><cnn><mlp><deep-network>,1,
